RESERVED	__TRICEPS_FILE_TYPE__	SCHEDULE						
RESERVED	__ICON__	dialogo.jpg						
RESERVED	__DEVELOPER_MODE__	TRUE						
RESERVED	__TITLE__	MJT						
RESERVED	__HEADER_MSG__	Questionnaire on Ethical Problems						
RESERVED	__AUTOGEN_OPTION_NUM__	TRUE						
RESERVED	__SHOW_ADMIN_ICONS__	TRUE						
RESERVED	__ALLOW_COMMENTS__	FALSE						
RESERVED	__ALLOW_DONT_UNDERSTAND__	FALSE						
RESERVED	__ALLOW_REFUSED__	FALSE						
RESERVED	__ALLOW_UNKNOWN__	FALSE						
RESERVED	__ALLOW_JUMP_TO__	FALSE						
RESERVED	__HELP_ICON__	help_true.gif						
RESERVED	__PASSWORD_FOR_ADMIN_MODE__	bypass						
COMMENT	"The Moral Judgment Test (MJT), Georg Lind, http://www.uni-konstanz.de/ag-moral"						
COMMENT concept	internalName	externalName	dependencies	action type	substitution phrase	action phrase	answer options	helpURL
SS_I	SS_I		1	e		I_pro_stage1 * I_pro_stage1 + I_con_stage1 * I_con_stage1 + I_pro_stage2 * I_pro_stage2 + I_con_stage2 * I_con_stage2 + I_pro_stage3 * I_pro_stage3 + I_con_stage3 * I_con_stage3 + I_pro_stage4 * I_pro_stage4 + I_con_stage4 * I_con_stage4 + I_pro_stage5 * I_pro_stage5 + I_con_stage5 * I_con_stage5 + I_pro_stage6 * I_pro_stage6 + I_con_stage6 * I_con_stage6	nothing
sum_II	sum_II		1	e		II_pro_stage1 + II_con_stage1 + II_pro_stage2 + II_con_stage2 + II_pro_stage3 + II_con_stage3 + II_pro_stage4 + II_con_stage4 + II_pro_stage5 + II_con_stage5 + II_pro_stage6 + II_con_stage6	nothing
SS_II	SS_II		1	e		II_pro_stage1 * II_pro_stage1 + II_con_stage1 * II_con_stage1 + II_pro_stage2 * II_pro_stage2 + II_con_stage2 * II_con_stage2 + II_pro_stage3 * II_pro_stage3 + II_con_stage3 * II_con_stage3 + II_pro_stage4 * II_pro_stage4 + II_con_stage4 * II_con_stage4 + II_pro_stage5 * II_pro_stage5 + II_con_stage5 * II_con_stage5 + II_pro_stage6 * II_pro_stage6 + II_con_stage6 * II_con_stage6	nothing
sum_I_II	sum_I_II		1	e		sum_I + sum_II	nothing
SStotal	SStotal		1	e		SS_I + SS_II	nothing
MSS	MSS		1	e		(sum_I_II * sum_I_II)/24	nothing
DSS	DSS		1	e		SStotal - MSS	nothing
sum_pro	sum_pro		1	e		I_pro_stage1 + II_pro_stage1 + I_pro_stage2 + II_pro_stage2 + I_pro_stage3 + II_pro_stage3 +  I_pro_stage4 + II_pro_stage4 + I_pro_stage5 + II_pro_stage5 + I_pro_stage6 + II_pro_stage6	nothing
sum_con	sum_con		1	e		I_con_stage1 + II_con_stage1 + I_con_stage2 + II_con_stage2 + I_con_stage3 + II_con_stage3 +  I_con_stage4 + II_con_stage4 + I_con_stage5 + II_con_stage5 + I_con_stage6 + II_con_stage6	nothing
sum_pro_squared	sum_pro_squared		1	e		sum_pro * sum_pro	nothing
sum_con_squared	sum_con_squared		1	e		sum_con * sum_con	nothing
sum_stage1_sq	sum_stage1_sq		1	e		sum_stage1 * sum_stage1	nothing
sum_stage2_sq	sum_stage2_sq		1	e		sum_stage2 * sum_stage2	nothing
sum_stage3_sq	sum_stage3_sq		1	e		sum_stage3 * sum_stage3	nothing
sum_stage4_sq	sum_stage4_sq		1	e		sum_stage4 * sum_stage4	nothing
sum_stage5_sq	sum_stage5_sq		1	e		sum_stage5 * sum_stage5	nothing
sum_stage6_sq	sum_stage6_sq		1	e		sum_stage6 * sum_stage6	nothing
sum_stages_sq	sum_stages_sq		1	e		(sum_stage1_sq + sum_stage2_sq + sum_stage3_sq + sum_stage4_sq + sum_stage5_sq + sum_stage6_sq) /4	nothing
SSstage	SSstage		1	e		sum_stages_sq - MSS	nothing
coeff_deter	coeff_deter		1	e		SSstage / DSS	nothing
C	C		1	e		coeff_deter * 100	nothing
reportC	reportC		1	q		The C index is:  `C`.<BR><BR>A score below 10 is <I>low</I>.  A score from 10 to 29 is <I>medium</I>.  A score from 30 to 49 is <I>high</I>.  A score of 50 or more is <I>very high</I>.	nothing
